FinancialYear,Attributes,FinancialData,YearofReport
FD2016Q4YTD,AmendmentFlag,false,2014-01-31
FD2016Q4YTD,CurrentFiscalYearEndDate,--12-31,2014-01-31
FD2016Q4YTD,DocumentFiscalPeriodFocus,FY,2014-01-31
FD2016Q4YTD,DocumentFiscalYearFocus,2016,2014-01-31
FD2016Q4YTD,DocumentPeriodEndDate,2016-12-31,2014-01-31
FD2016Q4YTD,DocumentType,10-K,2014-01-31
FD2016Q4YTD,EntityCentralIndexKey,0000072971,2014-01-31
I2016Q4DEISHARES,EntityCommonStockSharesOutstanding,5003367904,2014-01-31
FD2016Q4YTD,EntityCurrentReportingStatus,Yes,2014-01-31
FD2016Q4YTD,EntityFilerCategory,Large Accelerated Filer,2014-01-31
FI2016Q2,EntityPublicFloat,238200000000,2014-01-31
FD2016Q4YTD,EntityRegistrantName,WELLS FARGO & COMPANY/MN,2014-01-31
FD2016Q4YTD,EntityVoluntaryFilers,No,2014-01-31
FD2016Q4YTD,EntityWellKnownSeasonedIssuer,Yes,2014-01-31
FI2015Q4,DerivativeNotionalAmount,47571000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,139956000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,7427000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,7800000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,25115000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,295962000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,16407000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,1900000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,191684000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,4685898000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,211375000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,1041000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,18018000000,2013-01-31
FI2015Q4,DerivativeNotionalAmount,0,2013-01-31
FI2015Q4,DerivativeNotionalAmount,10544000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,65532000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,151675000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,7964000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,9600000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,25861000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,318999000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,20435000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,1900000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,235222000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,6018370000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,228051000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,961000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,19964000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,482000000,2013-01-31
FI2016Q4,DerivativeNotionalAmount,10483000000,2013-01-31
FD2016Q4YTD,InvestmentWarrantsExercisePrice,33.811,2013-01-31
FI2015Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,59445000000,2016-01-31
FI2015Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,8135000000,2016-01-31
FI2015Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,496000000,2016-01-31
FI2015Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,10000000,2016-01-31
FI2015Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,1000000,2016-01-31
FI2015Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,507000000,2016-01-31
FI2015Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,10000000,2016-01-31
FI2016Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,57189000000,2016-01-31
FI2016Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,7064000000,2016-01-31
FI2016Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,306000000,2016-01-31
FI2016Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,107000000,2016-01-31
FI2016Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,2000000,2016-01-31
FI2016Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,415000000,2016-01-31
FI2016Q4,AccountsPayableAndAccruedLiabilitiesCurrentAndNoncurrent,107000000,2016-01-31
FI2015Q4,AccountsReceivableNet,26251000000,2016-01-31
FI2016Q4,AccountsReceivableNet,31056000000,2016-01-31
FI2015Q4,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,11017000000,2016-01-31
FI2016Q4,AccumulatedDepreciationDepletionAndAmortizationPropertyPlantAndEquipment,10852000000,2016-01-31
FI2013Q4,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,2338000000,2016-01-31
FI2014Q4,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,4926000000,2016-01-31
FI2015Q4,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,1813000000,2016-01-31
FI2016Q4,AccumulatedOtherComprehensiveIncomeLossAvailableForSaleSecuritiesAdjustmentNetOfTax,-1099000000,2016-01-31
FI2013Q4,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,80000000,2016-01-31
FI2014Q4,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,333000000,2016-01-31
FI2015Q4,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,620000000,2016-01-31
FI2016Q4,AccumulatedOtherComprehensiveIncomeLossCumulativeChangesInNetGainLossFromCashFlowHedgesEffectNetOfTax,89000000,2016-01-31
FI2013Q4,AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,1053000000,2016-01-31
FI2014Q4,AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,1703000000,2016-01-31
FI2015Q4,AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,1951000000,2016-01-31
FI2016Q4,AccumulatedOtherComprehensiveIncomeLossDefinedBenefitPensionAndOtherPostretirementPlansNetOfTax,1943000000,2016-01-31
FI2013Q4,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,21000000,2016-01-31
FI2014Q4,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-38000000,2016-01-31
FI2015Q4,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-185000000,2016-01-31
FI2016Q4,AccumulatedOtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentNetOfTax,-184000000,2016-01-31
FI2013Q4,AccumulatedOtherComprehensiveIncomeLossNetOfTax,1386000000,2016-01-31
FI2014Q4,AccumulatedOtherComprehensiveIncomeLossNetOfTax,3518000000,2016-01-31
FI2015Q4,AccumulatedOtherComprehensiveIncomeLossNetOfTax,297000000,2016-01-31
FI2016Q4,AccumulatedOtherComprehensiveIncomeLossNetOfTax,-3137000000,2016-01-31
FI2015Q4,AdditionalCollateralAggregateFairValue,3600000000,2016-01-31
FI2016Q4,AdditionalCollateralAggregateFairValue,4000000000,2016-01-31
FI2015Q4,AdditionalPaidInCapital,60714000000,2016-01-31
FI2016Q4,AdditionalPaidInCapital,60234000000,2016-01-31
FI2015Q4,AdditionalPaidInCapitalPreferredStock,110000000,2016-01-31
FI2016Q4,AdditionalPaidInCapitalPreferredStock,126000000,2016-01-31
FD2014Q4YTD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,858000000,2016-01-31
FD2014Q4YTD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,858000000,2016-01-31
FD2014Q4YTD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,858000000,2016-01-31
FD2015Q4YTD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,844000000,2016-01-31
FD2015Q4YTD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,844000000,2016-01-31
FD2015Q4YTD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,844000000,2016-01-31
FD2016Q4YTD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,779000000,2016-01-31
FD2016Q4YTD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,779000000,2016-01-31
FD2016Q4YTD,AdjustmentsToAdditionalPaidInCapitalSharebasedCompensationRequisiteServicePeriodRecognitionValue,779000000,2016-01-31
FD2014Q4YTD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,453000000,2016-01-31
FD2014Q4YTD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,453000000,2016-01-31
FD2014Q4YTD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,453000000,2016-01-31
FD2015Q4YTD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,453000000,2016-01-31
FD2015Q4YTD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,453000000,2016-01-31
FD2015Q4YTD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,453000000,2016-01-31
FD2016Q4YTD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,277000000,2016-01-31
FD2016Q4YTD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,277000000,2016-01-31
FD2016Q4YTD,AdjustmentsToAdditionalPaidInCapitalTaxEffectFromShareBasedCompensation,277000000,2016-01-31
FD2014Q4YTD,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,9000000,2016-01-31
FD2014Q4YTD,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,9000000,2016-01-31
FD2014Q4YTD,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,9000000,2016-01-31
FD2015Q4YTD,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,49000000,2016-01-31
FD2015Q4YTD,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,49000000,2016-01-31
FD2015Q4YTD,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,49000000,2016-01-31
FD2016Q4YTD,AdjustmentsToAdditionalPaidInCapitalWarrantIssued,17000000,2016-01-31
